"","instnm","pub_status","conference","year","win_pct_diff","year2","applcn_pct_chng"
"195","Virginia","Public","ACC",2005,-8.3,2006,2.7
"196","Washington","Public","Pac 12",2005,9.1,2006,-0.2
"197","Wisconsin","Public","Big 10",2005,1.9,2006,4.6
"198","Vanderbilt","Private","SEC",2005,27.3,2006,0
"199","Wake Forest","Private","ACC",2005,0,2006,16.7
"200","Washington State","Public","Pac 12",2005,-9.1,2006,1.3
"201","Arizona State","Public","Pac 12",2006,-4.5,2007,0
"202","Auburn","Public","SEC",2006,9.6,2007,11.1
"203","Baylor","Private","Big 12",2006,-12.1,2007,23.9
"204","Clemson","Public","ACC",2006,-5.1,2007,0
"205","Duke","Private","ACC",2006,-9.1,2007,8
"206","Florida State","Public","ACC",2006,-7.7,2007,2.8
"207","Georgia Tech","Public","ACC",2006,6,2007,0.1
"208","Indiana","Public","Big 10",2006,5.3,2007,9.1
"209","Iowa State","Public","Big 12",2006,-25,2007,5.9
"210","Kansas State","Public","Big 12",2006,8.4,2007,-24.7
"211","LSU","Public","SEC",2006,0,2007,-6.4
"212","Michigan State","Public","Big 10",2006,-12.1,2007,5.1
"213","Mississippi State","Public","SEC",2006,-2.3,2007,5.5
"214","North Carolina State","Public","ACC",2006,-33.3,2007,13.7
"215","Northwestern","Private","Big 10",2006,-25,2007,13.5
"216","Ohio State","Public","Big 10",2006,9,2007,13
"217","Oklahoma State","Public","Big 12",2006,17.5,2007,-4.7
"218","Oregon State","Public","Pac 12",2006,26,2007,38.5
"219","Penn State","Public","Big 10",2006,-22.4,2007,16.4
"220","Purdue","Public","Big 10",2006,11.7,2007,4.2
"221","Stanford","Private","Pac 12",2006,-37.1,2007,7.3
"222","Texas Tech","Public","Big 12",2006,-13.5,2007,-13.4
"223","Alabama","Public","SEC",2006,-37.2,2007,14.3
"224","Tennessee","Public","SEC",2006,23.8,2007,2.9
"225","Texas","Public","Big 12",2006,-23.1,2007,-0.3
"226","Arizona","Public","Pac 12",2006,22.7,2007,53.2
"227","Arkansas","Public","SEC",2006,35.1,2007,20
"228","California","Public","Pac 12",2006,13.3,2007,12.9
"229","UCLA","Public","Pac 12",2006,-29.5,2007,12.1
"230","Florida","Public","SEC",2006,17.9,2007,9.2
"231","Georgia","Public","SEC",2006,-7.7,2007,29.2
"232","Illinois","Public","Big 10",2006,-1.5,2007,14
"233","Iowa","Public","Big 10",2006,-12.2,2007,2.3
"234","Kansas","Public","Big 12",2006,-8.3,2007,2.1
"235","Kentucky","Public","SEC",2006,34.3,2007,-4.7
"236","Maryland","Public","ACC",2006,23.8,2007,2.7
"237","Michigan","Public","Big 10",2006,26.3,2007,6.5
"238","Minnesota","Public","Big 10",2006,-12.2,2007,5.8
"239","Mississippi","Public","SEC",2006,6.1,2007,17.1
"240","North Carolina","Public","ACC",2006,-20.5,2007,7.1
"241","Oklahoma","Public","Big 12",2006,11.9,2007,14.7
"242","Oregon","Public","Pac 12",2006,-37.1,2007,8.1
"243","South Carolina","Public","SEC",2006,3.2,2007,7.1
"244","Southern California","Private","Pac 12",2006,-7.7,2007,-0.6
"245","Virginia","Public","ACC",2006,-16.7,2007,10.6
"246","Washington","Public","Pac 12",2006,23.5,2007,11.8
"247","Wisconsin","Public","Big 10",2006,15.4,2007,1.4
"248","Vanderbilt","Private","SEC",2006,-12.1,2007,10.7
"249","Wake Forest","Private","ACC",2006,42.2,2007,-2.2
"250","Washington State","Public","Pac 12",2006,13.6,2007,16.5
"251","Arizona State","Public","Pac 12",2007,23.1,2008,20.4
"252","Auburn","Public","SEC",2007,-15.4,2008,-3.5
"253","Baylor","Private","Big 12",2007,-8.3,2008,-3.8
"254","Clemson","Public","ACC",2007,7.7,2008,11.5
"255","Duke","Private","ACC",2007,8.3,2008,-2.3
"256","Florida State","Public","ACC",2007,0,2008,4.7
"257","Georgia Tech","Public","ACC",2007,-10.4,2008,4.4
"258","Indiana","Public","Big 10",2007,12.2,2008,7.3
"259","Iowa State","Public","Big 12",2007,-8.3,2008,14.8
"260","Kansas State","Public","Big 12",2007,-12.2,2008,25.5
"261","LSU","Public","SEC",2007,1.1,2008,13
"262","Michigan State","Public","Big 10",2007,20.5,2008,4.7
"263","Mississippi State","Public","SEC",2007,36.5,2008,22.6
"264","North Carolina State","Public","ACC",2007,16.7,2008,5.8
"265","Northwestern","Private","Big 10",2007,16.7,2008,19.3
"266","Ohio State","Public","Big 10",2007,-7.7,2008,-2.7
